,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
48620,1,241061.0,FRA,Paris,1,2012-01-01,1,2011-07-11,2011-07-11,2,Curated Web
48621,1,31520.0,DEU,Berlin,1,2008-12-01,4,2008-12-01,2008-12-01,1,Mobile
48622,1,2000000.0,CHN,Beijing,1,2013-09-11,3,2013-11-01,2013-11-01,4,Travel
48626,1,40000.0,CHL,Santiago,1,2013-10-15,4,2014-06-01,2014-06-01,1,Cloud Computing
48627,1,600000.0,USA,Atlanta,1,2012-01-01,1,2013-01-01,2013-01-01,3,Games
48629,1,100000.0,USA,SF Bay Area,1,2012-03-27,1,2012-07-03,2012-07-03,2,Social Network Media
48630,1,25000.0,ARG,Buenos Aires,1,2008-10-01,4,2011-09-01,2011-09-01,1,Curated Web
48635,1,90000.0,TUR,Istanbul,1,2012-08-03,3,2013-05-27,2013-05-27,1,Curated Web
48638,1,38880.0,CAN,Ottawa,1,2010-10-01,4,2010-10-20,2010-10-20,3,0_other_cat
48639,1,20000.0,IDN,Jakarta,1,2011-04-13,2,2011-01-01,2011-01-01,1,Mobile
48640,1,13000000.0,ISR,Tel Aviv,4,2011-01-06,1,2011-04-18,2014-09-10,5,ECommerce
48641,1,40000.0,USA,Jacksonville,1,2007-01-01,1,2012-12-12,2012-12-12,1,Enterprise Software
48642,1,29000000.0,USA,Boston,3,2009-04-01,2,2010-08-31,2013-07-10,5,0_other_cat
48643,1,42000000.0,USA,SF Bay Area,3,2005-01-01,1,2008-07-24,2012-08-15,5,Software
48648,1,5000000.0,ISR,Tel Aviv,3,2011-09-04,3,2012-07-02,2014-10-22,5,Apps
48649,1,1150000.0,USA,New York City,2,2009-07-01,3,2009-08-01,2010-08-25,3,Games
48650,1,10325000.0,USA,New York City,2,2010-10-28,4,2013-07-30,2014-02-06,5,Health and Wellness
48654,1,5125000.0,USA,SF Bay Area,3,2012-02-05,1,2013-07-01,2014-11-20,5,Social Media
48655,1,150000.0,CHE,Herisau,1,2008-11-19,4,2008-11-19,2008-11-19,2,Software
48656,1,1415260.0,FRA,Paris,1,2011-01-01,1,2013-09-24,2013-09-24,4,Curated Web
